# columns: vPH vPHM JPH JPHM OmPH OmPHM  E(eV)  I  idxPH  idxPHM
0.004.00-1.00-1.000.001.001.000.002.50-0.500.50-1.001.002.00 0.3731586798  0.0000134126 
0.004.00-1.00-1.000.001.001.000.002.500.50-0.501.000.002.00 0.3731586798  0.0000402018 
0.004.00-1.00-1.000.001.001.000.002.501.500.501.000.001.00 0.3729292116  0.0000200435 
0.004.000.000.000.000.002.000.002.50-0.500.50-1.001.002.00 0.3727756960  0.0000194623 
0.004.000.000.000.000.002.000.002.500.50-0.501.000.002.00 0.3727756960  0.0000194623 
0.004.000.000.000.000.002.000.002.501.500.501.000.001.00 0.3725462277  0.0000032755 
0.004.000.000.000.000.002.000.002.50-1.50-0.50-1.001.001.00 0.3725462277  0.0000032755 
0.004.001.001.000.000.001.000.002.50-0.500.50-1.001.002.00 0.3734653589  0.0000362468 
0.004.001.001.000.000.001.000.002.500.50-0.501.000.002.00 0.3734653589  0.0000120931 
0.004.001.001.000.000.001.000.002.50-1.50-0.50-1.001.001.00 0.3732358907  0.0000180720 
0.004.00-1.00-1.000.001.001.000.004.50-0.500.50-1.001.002.00 0.3738462275  0.0000231810 
0.004.00-1.00-1.000.001.001.000.004.500.50-0.501.000.002.00 0.3738462275  0.0000151402 
0.004.00-1.00-1.000.001.001.000.004.501.500.501.000.001.00 0.3734644152  0.0000004636 
0.004.000.000.000.000.002.000.004.50-0.500.50-1.001.002.00 0.3734632436  0.0000037505 
0.004.000.000.000.000.002.000.004.500.50-0.501.000.002.00 0.3734632436  0.0000037505 
0.004.000.000.000.000.002.000.004.501.500.501.000.001.00 0.3730814313  0.0000168775 
0.004.000.000.000.000.002.000.004.50-1.50-0.50-1.001.001.00 0.3730814313  0.0000168775 
0.004.001.001.000.000.001.000.004.50-0.500.50-1.001.002.00 0.3741529066  0.0000136500 
0.004.001.001.000.000.001.000.004.500.50-0.501.000.002.00 0.3741529066  0.0000208994 
0.004.001.001.000.000.001.000.004.50-1.50-0.50-1.001.001.00 0.3737710943  0.0000004180 
0.005.00-1.00-1.000.001.001.000.004.50-0.500.50-1.001.002.00 0.3738462275  0.0000154563 
0.005.00-1.00-1.000.001.001.000.004.500.50-0.501.000.002.00 0.3738462275  0.0000018545 
0.005.00-1.00-1.000.001.001.000.004.501.500.501.000.001.00 0.3734644152  0.0000111272 
0.005.000.000.000.001.002.000.004.50-0.500.50-1.001.002.00 0.3730041978  0.0000032717 
0.005.000.000.000.001.002.000.004.500.50-0.501.000.002.00 0.3730041978  0.0000032717 
0.005.000.000.000.001.002.000.004.501.500.501.000.001.00 0.3726223855  0.0000065430 
0.005.000.000.000.001.002.000.004.50-1.50-0.50-1.001.001.00 0.3726223855  0.0000065430 
0.005.001.001.000.000.001.000.004.50-0.500.50-1.001.002.00 0.3734632436  0.0000018572 
